id	output
"bafkreidszrb4voix4aph2kzmjqir2ieavwf44uydo5k5tvtewveyzfg7le"	{"roof_date": null}
"bafkreicve5zf33fcv7rp3vu7p3vbiozysoczquv7mgxrzelwjc4hpwmgpa"	{"roof_date": null}
"bafkreidfd4k3o7nrwr5pot47jrxtuwdrwdboc57w7ekvrogshrudt63fue"	{"roof_date": null}
"bafkreibcivp7kaho75hugju765vprputfzzhwhudktcbid4gq6a3ncdeda"	{"roof_date": null}
"bafkreifhsksypj5oa6gyjaq25lz73h4fmepxxohqf4sym2ppj2bw3d65rm"	{"roof_date": null}
"bafkreigaixlralpracf5t6ywgutoyu7hvudw5p7y4vfln4h46cjc4sndne"	{"roof_date": null}
"bafkreibbufainjdyua26je7vh7em2ias72cevlhmmczwxqzd43zhzlnynq"	{"roof_date": null}
"bafkreibgo5q437z2xc65dwwydcasa2o2ujjl5sxlrhqofakuiwcgguwfuu"	{"roof_date": null}
"bafkreiczkjotcjgywhq6rct5ni6ke7hoiprwmg7zz5z4w2oxg6drvgd4qa"	{"roof_date": null}
"bafkreidp3wgvfixelcopj4elnlwjbg7p42efs5ivdeymhpltylhpau7jbm"	{"roof_date": null}
"bafkreifdptxzflzjo5ebjy543x47ri7qfvxbpp35h3w3wacorj3ri2gche"	{"roof_date": null}
"bafkreihuhmggb7ghjx5em4lh6qunj6gz5atdaasbim3xhsn2reopbldmyu"	{"roof_date": null}
"bafkreif6fyyfasptwbxrea734ilmgt3f46eldzhu3n7gooetwzrst3ayf4"	{"roof_date": null}
"bafkreibith2n7xstqjw4dfjwhfiq3mouboyvzw4q4j4lekpboystpgaf3a"	{"roof_date": null}
"bafkreic2wo4jka26z3rpwj27utisyxcd4cdadvrpn47pkxvn72axqhowfm"	{"roof_date": null}
"bafkreif7mcamur3k2qrd5rctfmntmshm3z3l3yyrfxd2mpiy4eoaks4ibm"	{"roof_date": null}
"bafkreiabtn5qlxkoqojlfpuhn3kcfhyenmtvfrnzv64kulh3qjqqll3u64"	{"roof_date": null}
"bafkreibghf5rv7vqzrkldtcqvrq3lhl5dhtmsdm7mzptfumnbwbhg5t3ju"	{"roof_date": null}
"bafkreifrbdghurebbj4ml336yhpgckl76a3k7tc45zqma7nae4fsxza2uy"	{"roof_date": null}
"bafkreiczbfdiojbo2y2muq7hmygr4j2k5qkcbhckxifkssfmxa2zh4n7ie"	{"roof_date": null}
"bafkreidolcjuxebzq4ln5nwbw23o5eeqcizi4dayh4kgxfh3k6wwv25d7y"	{"roof_date": null}
"bafkreib2m66vwiw5esnoo7wx4nvx46wuargkzeuianprbpxdqrihrq5qhy"	{"roof_date": null}
"bafkreigzxz643vgqbesoolvopd2shmdhrzvparyuodn7n75672ifdjr734"	{"roof_date": null}
